Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2,case7,case8,case9,case10,case13,case15,case16,case18,ccrArrival,front_alg_fr,premier_plot_fr,modes_fr,Type_Avion_Survol
7322,F,1756,LFML,LFML,175Y     ,Z,EC25   ,Z  ,         ,,240321,         ,,,,,,,      ,,nan,nan,nan,nan,nan,nan,nan,nan,MARS,,nan,nan,
7323,F,1058,LFPB,LFMD,3AMSR    ,Z,C525   ,Z  ,3AMSR    ,,240321,AA57016889,,,,,,,4D4038,,3AMSR,IG ,C525/L,SBDFGRWYZ/HB1V1 ,LFPB1100 ,N0378F380 LATRA DCT LAMUT DCT UTUVA DCT LERGA/N0370F370 DCT LIQID UY30 XATEL ,LFMD0109 LFMN ,"DAT/CPDLCX DOF/240321 EET/LFMM0028 IFP/MODESASP OPR/AVIARENT ORGN/KAUSZXBT PER/B REG/3AMSR RMK/ASLLEMDA000010978 CREW CONTACT 0033680309680 FILED BY 00441273782130 RVR/550)
",CDG,False,1058.0,4D4038,C525
7329,F,1636,LFLB,EBLG,AAB75P   ,Z,GL5T   ,Z  ,OOWLP    ,,240321,AA57104754,,,,,,,44DD90,,AAB75P,IN ,GL5T/M,SBDE1E2E3FGHIJ1J3J4J5P2RWXY/LB2D1G1 ,LFLB1630 ,N0473F280 VENAT T330 GILIR/N0494F320 DCT PENDU DCT IXILU/N0497F310 DCT GIVOR/N0420F230 DCT SORAL/N0427F240 DCT IBERA N853 DIK N852 GESLO ,EBLG0102 EHBK EBBR ,"CODE/44DD90 DOF/240321 EET/LFFF0005 LSAS0013 LFFF0015 EBUR0040 EBBU0053 IFP/MODESASP OPR/AAB ORGN/EKODFFLX PER/C REG/OOWLP RMK/ACAS II ASLDCMF050846 PIC TEL 32 475 70 84 18 SEL/FKAC SUR/RSP180)
",LYON,False,1535.0,44DD90,GL5T
7333,F,1650,LFMQ,EBKT,AAB89X   ,Z,C25C   ,Z  ,OOLXA    ,,240321,AA57074540,,,,,,,44B301,,AAB89X,IN ,C25C/M,SBDGRWXYZ/LB1 ,LFMQ1550 ,N0443F340 MTL UM976 MOPEM DCT CACHI DCT AVLON UM976 OKRIX/N0449F300 UM976 KOPOR UN874 NURMO/N0439F100 N874 VEKIN N873 FERDI ,EBKT0124 LFQQ EBBR ,"DAT/CPDLCX DOF/240321 EET/LFFF0005 EBBU0115 IFP/MODESASP ORGN/EKODFFLX PER/B REG/OOLXA RMK/ACAS II PIC TEL 32 498 67 09 85)
",MARS,False,1547.0,44B301,C25C
7340,F,1049,LFPG,KJFK,AAL45    ,Z,B772   ,Z  ,N756A    ,,240321,AA57092794,,,,,,,AA305F,,AAL45,IS ,B772/H,SDE1E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG1025 ,N0480F340 LGL UN491 UPALO/N0477F350 UN585 FEJAC DCT BADUR DCT REGHI/M083F360 DCT ETIKI/M083F360 DCT 47N015W DCT 46N020W DCT 44N030W DCT 42N040W DCT 41N050W/M083F380 DCT 42N060W DCT WHALE/N0486F380 DCT PLYMM PARCH3 ,KJFK0805 KEWR ,"CODE/AA305F DAT/CPDLCX 1FANS2PDC DOF/240321 EET/EGGX0102 LPPO0237 KZWY0409 CZQM0656 KZNY0755 NAV/RNVD1E2A1 OPR/AAL ORGN/FTWIDAA REG/N756AM SEL/GKBC SUR/26
",CDG,False,1048.0,AA305F,B772
7342,F,1038,LFPG,KDFW,AAL49    ,Z,B789   ,Z  ,N840A    ,,240321,AA57092714,,,,,,,AB7FE6,,AAL49,IS ,B789/H,SDE1E3GHIJ1J4J5M1P2RWXYZ/LB1D1 ,LFPG1005 ,N0484F300 ATREX UT225 VESAN UL613 SOVAT/N0491F340 L613 SANDY L722 ICTAM T421 DIDZA L9 OKSAW DCT TEWXI DCT VATRY DCT GURGA DCT REVNU/M085F340 DCT SUNOT/M084F340 DCT 59N020W DCT 61N030W/M084F380 DCT 62N040W DCT 62N050W DCT NIFTY N846A MUSLO/N0486F380 DCT FASSA DCT HELMO DCT PELEE DCT MOGAG DCT ANTUR DCT MEBSI DCT SAW DCT GRB DCT OSH DCT KAMBL DCT TWAIN DCT RRNET SEEVR4 ,nan,nan,CDG,False,1038.0,AB7FE6,B789
7344,F,851,LFPG,KMIA,AAL63    ,Z,B772   ,Z  ,N773A    ,,240321,AA57089363,,,,,,,AA7439,,AAL63,IS ,B772/H,SDE1E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG0830 ,N0490F320 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT LESLU/N0481F360 DCT NEBIN/M083F360 DCT 55N020W DCT 56N030W DCT 56N040W DCT 54N050W DCT NEEKO/N0503F360 N478A TOPPS/N0495F380 DCT BEEKN Q97 KALDA DCT BGBRD Q101 SKARP Y313 HOAGG BNFSH2 ,KMIA0946 KFLL ,"CODE/AA7439 DAT/CPDLCX 1FANS2PDC DOF/240321 EET/EGTT0042 EISN0102 EGGX0142 CZQX0301 CZUL0521 CZQM0607 KZDC0733 KZJX0830 KZMA0857 NAV/R
",CDG,False,850.0,AA7439,B772
7348,F,1236,LFPG,KPHL,AAL755   ,Z,B788   ,Z  ,N812A    ,,240321,AA57096679,,,,,,,AB10CB,,AAL755,IS ,B788/H,SDE1E3GHIJ1J4J5M1P2RWXYZ/LB1D1 ,LFPG1230 ,N0471F400 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT ARKIL DCT TOBOR/M085F400 DCT 54N020W DCT 55N030W DCT 55N040W DCT 54N050W DCT NEEKO/N0500F400 N478A TOPPS DCT LARIE Q220 SKOWL/N0419F240 Q220 RIFLE Q439 BRIGS JIIMS4 ,KPHL0808 KEWR ,"CODE/AB10CB DAT/1FANSER2PDC DOF/240321 EET/EGTT0041 EGGX0102 EISN0108 EGGX0142 CZQX0302 CZUL0520 CZQM0606 KZDC0739 KZDC0745 KZNY0745 NAV/RNVD1E2A1 OPR/
",CDG,False,1236.0,AB10CB,B788
7358,F,817,LFMN,LGAV,ABP812   ,Z,E35L   ,Z  ,OKSYN    ,,240321,AA57095221,,,,,,,49D013,,ABP812,IN ,E35L/M,SBCDE1E2E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFMN0810 ,N0440F410 SODRI DCT RAPUR DCT RATAP DCT BTA DCT DOKAR DCT SUNEV DCT EKTOL DCT DOGUS DCT NOSTO UN7 NEMES ,LGAV0209 LGTS ,"CODE/49D013 COM/00870774971297 DAT/CPDLCX V1FANS2PDC DOF/240321 EET/LIRR0025 LIBB0058 LGGG0122 NAV/RNVD1E2A1 OPR/ABS JETS ORGN/PRGDPXH REG/OKSYN RMK/CALLSIGN BAIR AGCS EQUIPPED OCC TEL00420602205852 ASLASLLFMND000020847 SEL/FKEJ SUR/260B RSP180 CANMANDATE)
",NICE,False,818.0,49D013,E35L
7362,F,1642,LFPG,EDDV,ABR255   ,Z,B738   ,Z  ,EIAZF    ,,240321,AA57099824,,,,,,,4CAD4B,,ABR255,IS ,B738/M,SDFHIRWYZ/H ,LFPG1630 ,N0438F410 RANUX UN858 LIPNI/N0439F410 UN858 LIMGO DCT SOGMI DCT MASEK Z99 ELNAT P605 WERRA/N0377F200 WERRA2P ,EDDV0112 EDDP ,"DAT/CPDLCX DOF/240321 EET/EBUR0023 EDUU0028 EDVV0054 EDWW0055 IFP/MODESASP OPR/ABR ORGN/RSYFP5O REG/EIAZF RMK/CONTACT 0035318121928 CARGO ONLY RVR/200 SEL/DGPS TALT/EBLG)
",CDG,False,1642.0,4CAD4B,B738
7366,F,256,LFPG,EGPH,ABR2DI   ,Z,AT76   ,Z  ,EIHAB    ,,240321,AA57083634,,,,,,,4CACA1,,ABR2DI,IS ,AT76/M,SDFGRY/S ,LFPG0244 ,N0248F180 ATREX/N0256F220 UT225 VESAN UL613 SOVAT/N0257F220 L613 SANDY N57 DET N601 INPIP ,EGPH0226 EGNX ,"DOF/240321 EET/EGTT0038 EGPX0203 OPR/ABR ORGN/RSYFP5O REG/EIHAB RMK/CONTACT 0035318121928 RVR/300 TALT/EBLG)
",CDG,False,256.0,4CACA1,AT76
7367,F,345,LFPG,LFBO,ABR2LS   ,Z,AT76   ,Z  ,EIHAF    ,,240321,AA57084010,,,,,,,4CAE78,,ABR2LS,IS ,AT76/M,SDFGRY/S ,LFPG0329 ,N0243F210 OLZOM DCT ERIXU DCT ETAMO/N0247F200 DCT GUERE DCT NARAK ,LFBO0139 LFML ,"DOF/240321 IFP/MODESASP OPR/ABR ORGN/RSYFP5O REG/EIHAF RMK/CONTACT 0035318121928 RVR/300 TALT/EBLG)
",CDG,False,345.0,4CAE78,AT76
7368,F,2154,LFBO,LFPG,ABR3LS   ,Z,AT76   ,Z  ,EIHAF    ,,240321,AA57108916,,,,,,,4CAE78,,ABR3LS,IS ,AT76/M,SDFGRY/S ,LFBO2206 ,N0249F200 FISTO DCT POI DCT PEPAX UT182 KEPER ,LFPG0141 EBLG ,"DOF/240321 IFP/MODESASP OPR/ABR ORGN/RSYFP5O REG/EIHAF RMK/CONTACT 0035318121928 RVR/300 TALT/LFBD)
",TOUL,False,2158.0,4CAE78,AT76
7372,F,309,LFPG,LFML,ABR5RS   ,Z,AT76   ,Z  ,EIHAE    ,,240321,AA57083798,,,,,,,4CACA3,,ABR5RS,IS ,AT76/M,SDFGRY/S ,LFPG0254 ,N0245F210 MONOT DCT LAMUT DCT UTUVA/N0247F210 DCT LERGA ,LFML0141 LFLL ,"DOF/240321 IFP/MODESASP OPR/ABR ORGN/RSYFP5O REG/EIHAE RMK/CONTACT 0035318121928 RVR/300 TALT/EBLG)
",CDG,False,309.0,4CACA3,AT76
7373,F,2242,LFML,LFPG,ABR6RS   ,Z,AT76   ,Z  ,EIHAE    ,,240321,AA57105191,,,,,,,4CACA3,,ABR6RS,IS ,AT76/M,SDFGRY/S ,LFML2111 ,N0249F200 ETREK UN854 LOGNI DCT MOKIP/N0262F220 DCT ARFOZ UN854 DJL ,LFPG0207 EBLG ,"DOF/240321 IFP/MODESASP OPR/ABR ORGN/RSYFP5O REG/EIHAE RMK/CONTACT 0035318121928 RVR/300 TALT/LFLL)
",MARS,False,2116.0,4CACA3,AT76
7374,F,1315,LFBD,EDDP,ABR760   ,Z,A306   ,Z  ,EILDC    ,,240321,AA57101304,,,,,,,4CAE23,,ABR760,IX ,A306/H,SDFGHIJ3RVWXYZ/LB1 ,LFBD1300 ,N0442F330 CNA DCT ADABI DCT BOKNO DCT DIBES DCT TSU/N0438F340 UN858 RANUX/N0444F330 UN858 LIMGO DCT BITBU DCT NOSPA DCT MASEK/N0435F350 T278 TAMEB T955 GOXLI GOXLI1V ,EDDP0206 EDDK ,"DAT/CPDLCX DOF/240321 EET/EBUR0109 EDUU0114 IFP/MODESASP OPR/ABR REG/EILDC RVR/075 SUR/260B)
",MERI,False,1321.0,4CAE23,
7379,F,1224,LFPG,CYUL,ACA871   ,Z,B77W   ,Z  ,CFKAU    ,,240321,AA57096753,,,,,,,C01A7D,,ACA871,IS ,B77W/H,SDE3FGHIJ1J2J4J5M1P2RWXYZ/LB1D1G1 ,LFPG1155 ,N0484F320 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT NAKID DCT BOGMI/N0482F340 DCT LEDGO DCT RESNO/M083F340 NATF 57N030W/M083F350 NATF 55N050W/M083F360 NATF LOMSI/N0486F360 N520B ANATI DCT DEBUS OMBRE2 ,CYUL0703 CYOW ,"CODE/C01A7D DAT/1FANS2PDC DOF/240321 EET/EGTT0039 EISN0059 EGGX0136 CZQX0302 CZUL0549 RESNO0146 56N020W0214 57N040W0347 55N050W0438 LOMSI0516 NAV/RNP2 ORGN/CYYZACAW
",CDG,False,1224.0,C01A7D,B77W
7381,F,1518,LFPG,CYYZ,ACA873   ,Z,A333   ,Z  ,CGHKR    ,,240321,AA57100028,,,,,,,C0583A,,ACA873,IS ,A333/H,SDE3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG1445 ,N0464F360 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT LESLU DCT RESNO/M082F370 NATF LOMSI/N0475F380 DCT YBC DCT ROSVO IMEBA9 ,CYYZ0753 CYHM ,"CODE/C0583A DAT/CPDLCX 1FANS2PDC DOF/240321 EET/EGTT0042 EISN0104 EGGX0143 CZQX0309 CZUL0601 CZYZ0727 RESNO0153 56N020W0221 57N040W0355 55N050W0447 LOMSI0525 NAV/RNP2 ORGN/CYYZACAW PER/D RALT/EIDW CYYR REG/CGHKR RMK/TCAS SEL/PSDQ SUR/260B RSP180 CA
",CDG,False,1518.0,C0583A,A333
7383,F,908,LFPG,CYUL,ACA875   ,Z,A333   ,Z  ,CGEGP    ,,240321,AA57092780,,,,,,,C04FE4,,ACA875,IS ,A333/H,SDE3FGHIJ4J5M1P2RWXYZ/LB1D1 ,LFPG0830 ,N0457F360 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT NAKID DCT BOGMI DCT LEDGO DCT KER DCT RESNO/M081F370 NATF 57N030W/M081F380 NATF 55N050W/M080F380 NATF LOMSI/N0467F380 N520B ANATI DCT DEBUS OMBRE2 ,CYUL0719 CYOW ,"CODE/C04FE4 DAT/CPDLCX 1FANS2PDC DOF/240321 EET/EGTT0041 EISN0102 EGGX0141 CZQX0309 CZUL0601 RESNO0152 56N020W0220 57N040W0356 55N050W0447 LOMSI0526 NAV/RNP2 ORGN/CYYZACAW
",CDG,False,908.0,C04FE4,A333
7385,F,1102,LFLL,CYUL,ACA877   ,Z,A333   ,Z  ,CGFUR    ,,240321,AA57094991,,,,,,,C053F6,,ACA877,IS ,A333/H,SDE3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFLL1040 ,N0458F360 BUSIL DCT AMORO DCT MOMIL DCT BAGBI DCT SIZZA UM733 CHABY UH10 AMODO UM729 RESMI UN491 LGL UN502 JSY DCT LIZAD DCT NAKID DCT BOGMI DCT LEDGO DCT RESNO/M081F360 NATF 56N020W/M081F370 NATF 57N030W/M081F380 NATF LOMSI/N0468F380 N520B ANATI DCT DEBUS OMBRE2 ,CYUL0746 CYOW ,"CODE/C053F6 DAT/CPDLCX 1FANS2PDC DOF/240321 EET/LFFF0010 EGTT0108 EISN0130 EGGX0208 CZQX0336 CZUL0628 RES
",LYON,False,1105.0,C053F6,A333
7387,F,1015,LFBO,CYUL,ACA879   ,Z,B788   ,Z  ,CGHQQ    ,,240321,AA57093281,,,,,,,C058D5,,ACA879,IS ,B788/H,SADE3GHIJ1J2J4J5M1P2RWXYZ/LB1D1G1 ,LFBO1015 ,N0485F360 LACOU DCT CHALA DCT CNA DCT GALOF DCT TIVLU/M085F380 UN536 BUNAV/M085F400 DCT 47N020W 48N030W 49N040W 49N050W DCT JOOPY/N0497F400 N280A MIILS DCT ODBOS OMBRE2 ,CYUL0704 CYOW ,"CODE/C058D5 DAT/1FANSER2PDC DOF/240321 EET/LFFF0008 EGGX0100 CZQX0300 CZQM0551 KZBW0631 CZUL0646 BUNAV0104 47N020W0202 49N040W0358 49N050W0453 JOOPY0505 NAV/RNP2 ORGN/CYYZACAW PER/D RALT/LPPD CY
",TOUL,False,1015.0,C058D5,B788
7400,F,1646,LFPO,LEPA,AEA1298  ,Z,B738   ,Z  ,ECLUT    ,,240321,AA57093928,,,,,,,344446,,AEA1298,IS ,B738/M,SDFGHIJ1RWXY/LB1 ,LFPO1640 ,N0436F370 ERIXU DCT ETAMO/N0438F390 DCT VALKU DCT ATSUP DCT MINSO DCT DEGOL DCT PPG DCT ALBER P84 LORES ,LEPA0130 LEMH ,"CODE/344446 DOF/240321 EET/LECB0053 NAV/RNP2 OPR/AEA ORGN/EDDFAEAX PER/C REG/ECLUT RMK/TCAS CPY LEPAAEAO CONTACT 0034971178281 RVR/175 SEL/KPCM)
",ORL,False,1807.0,344446,B738
7424,F,1839,LFPO,LEMD,AEA72YH  ,Z,B788   ,Z  ,ECMIH    ,,240321,AA57100455,,,,,,,3451CF,,AEA72YH,IS ,B788/H,SDE3FGHIJ1J2J4J5M1P2RWXYZ/LB2D1 ,LFPO1825 ,N0453F390 AGOPA DCT ARKIP DCT ARMAL DCT ARTAX DCT BEBIX DCT LMG DCT UVELI DCT OSMOB DCT ARVID DCT PPN DCT NOLSA DCT ALEPO DCT VASUM DCT GARVU DCT BANEV ,LEMD0132 LEBL ,"CODE/3451CF DAT/1FANS2PDC DOF/240321 EET/LECM0053 NAV/RNP2 OPR/AEA ORGN/EDDFAEAX PER/D REG/ECMIH RMK/TCAS CPY LEPAAEAO CONTACT 0034971178281 RVR/075 SEL/GRHK SUR/260B RSP180 CANMANDATE)
",ORL,False,1839.0,3451CF,B788
7428,F,1003,LFPO,LEMD,AEA78NF  ,Z,B738   ,Z  ,ECNUY    ,,240321,AA57087872,,,,,,,347306,,AEA78NF,IS ,B738/M,SDFGHIJ1RWXY/LB1 ,LFPO0955 ,N0430F350 AGOPA DCT ARKIP DCT ARMAL/N0438F390 DCT ARTAX DCT BEBIX DCT LMG DCT UVELI DCT OSMOB DCT VAVIX DCT NETUK N857 VASUM/N0437F370 N857 BANEV ,LEMD0133 LEVC ,"CODE/347306 DOF/240321 EET/LECM0053 NAV/RNP2 OPR/AEA ORGN/EDDFAEAX PER/C REG/ECNUY RMK/TCAS CPY LEPAAEAO CONTACT 0034971178281 RVR/175 SEL/AQEG SUR/260B)
",ORL,False,1002.0,347306,B738
7436,F,1714,LFPO,LEMD,AEA99QP  ,Z,B738   ,Z  ,ECMJU    ,,240321,AA57094493,,,,,,,345215,,AEA99QP,IS ,B738/M,SDFGIJ1RWXY/LB1 ,LFPO1615 ,N0434F350 AGOPA DCT ARKIP DCT ARMAL/N0437F390 DCT ARTAX DCT BEBIX DCT LMG DCT UVELI DCT OSMOB DCT ARVID DCT PPN DCT NOLSA DCT ALEPO DCT VASUM DCT GARVU DCT BANEV ,LEMD0129 LEVC ,"CODE/345215 DOF/240321 EET/LECM0054 NAV/RNP2 OPR/AEA ORGN/EDDFAEAX PER/C REG/ECMJU RMK/TCAS CPY LEPAAEAO CONTACT 0034971178281 RVR/175 SEL/AFBL SUR/260B)
",ORL,False,1714.0,345215,B738
7441,F,1633,LFPG,LGAV,AEE3DG   ,Z,A320   ,Z  ,SXDNA    ,,240321,AA57085964,,,,,,,4691C1,,AEE3DG,IS ,A320/M,SDE2GHIJ1RTWY/SB1 ,LFPG1550 ,N0443F370 LANVI DCT DEVDI DCT ODINA DCT NOSTO UN7 NEMES ,LGAV0238 LGIR ,"CODE/4691C1 DOF/240321 EET/LSAS0035 EDUU0035 LIMM0048 LSAS0049 LIMM0050 LIBB0119 LGGG0201 OPR/AEE ORGN/EDDFAEEX PER/C REG/SXDNA RMK/TCAS AEE OPS 00302103550144 145 RVR/075 SEL/LQFJ)
",CDG,False,1633.0,4691C1,A320
7446,F,2016,LFPG,LGAV,AEE615   ,Z,A20N   ,Z  ,SXNEH    ,,240321,AA57092267,,,,,,,46B8A8,,AEE615,IS ,A20N/M,SDE2FGIJ1RWY/SB1 ,LFPG1930 ,N0440F390 BUBLI UG42 LUVAL DCT BEGAR DCT TRA DCT SUXAN DCT SUMIR DCT BASOG DCT LABIN DCT PINDO DCT PIKOS UL607 XORKI ,LGAV0246 LGIR ,"CODE/46B8A8 DOF/240321 EET/EDUU0035 LSAS0039 LOVV0047 LSAS0048 LIMM0054 LDZO0114 LYBA0151 LAAA0156 LGGG0209 OPR/AEE ORGN/EDDFAEEX PER/C REG/SXNEH RMK/AEE OPS 00302103550144 145 RVR/075 SEL/BJES)
",CDG,False,2016.0,46B8A8,A20N
7448,F,1116,LFPG,LGAV,AEE61PG  ,Z,A20N   ,Z  ,SXNEH    ,,240321,AA57079756,,,,,,,46B8A8,,AEE61PG,IS ,A20N/M,SDE2FGIJ1RWY/SB1 ,LFPG1055 ,N0443F390 BUBLI UG42 LUVAL DCT BEGAR DCT TRA/N0445F370 DCT SUXAN DCT PEVAL/N0440F390 DCT PINDO DCT PIKOS UL607 XORKI ,LGAV0234 LGSR ,"CODE/46B8A8 DOF/240321 EET/EDUU0034 LSAS0038 LOVV0046 LSAS0047 LIMM0052 LDZO0108 LYBA0146 LAAA0151 LGGG0204 OPR/AEE ORGN/EDDFAEEX PER/C REG/SXNEH RMK/AEE OPS 00302103550144 145 RVR/075 SEL/BJES)
",CDG,False,1116.0,46B8A8,A20N
7456,F,942,LFSB,LGAV,AEE859   ,Z,A320   ,Z  ,SXDVL    ,,240321,AA57078152,,,,,,,4692CC,,AEE859,IS ,A320/M,SDE2GHIJ1RTWY/SB1 ,LFSB0930 ,N0411F190 ELBEG Y715 AMRUP N491 TRA/N0441F310 N491 DEGES N871 MADEB/N0445F350 N606 ELMEM DCT DIRAB/N0443F370 DCT VESAL DCT PEVAL DCT AIOSA DCT NOSTO UN7 NEMES ,LGAV0209 LGSR ,"CODE/4692CC DOF/240321 EET/EDGG0003 LSAS0008 LOVV0015 LIMM0024 LDZO0040 LIBB0113 LGGG0131 OPR/AEE ORGN/EDDFAEEX PER/C REG/SXDVL RMK/TCAS AEE OPS 00302103550144 145 RVR/075 SEL/HKQS SUR/EUADSBX)
",BALE,False,942.0,4692CC,A320
7460,F,1545,LFBD,LIPK,AELIA65  ,Z,BE20   ,Z  ,9HRBA    ,,240321,AA57104130,,,,,,,4D20EE,,AELIA65,IN ,BE20/L,SBDFGIRWY/SB2V2 ,LFBD1545 ,N0229F190 SAU G39 AFRIC G393 FJR Y25 MTG G701 LACAZ Q302 ABLAK P856 RAPED Y15 USANO/N0282F180 Y15 ABN Z388 EKPAL M859 BOA BOA3R ,LIPK0232 LIPR ,"DOF/240321 EET/LFMM0042 LIMM0139 IFP/MODESASP ORGN/EKODFFLX REG/9HRBA RMK/PIC TEL 38972734308 RVR/500)
",MERI,False,1544.0,4D20EE,BE20
7470,F,1115,LFLU,LFMV,AFM01A   ,Z,PA44   ,Z  ,FHYPO    ,,240321,AA57096501,,,,,,,39E1EE,,AFM01A,IX ,PA44/L,SDGRY/SB2 ,LFLU1100 ,N0137F060 MTL ,LFMV0026 LFTW ,"DOF/240321 IFP/MODESASP OPR/AEROSPEED ORGN/KSTPXAAP REG/FHYPO RMK/CREW CONTACT +33674700280 FILED VIA AUTOROUTER.AERO RVR/550)
",LYON,False,1120.0,39E1EE,PA44
7471,F,1212,LFMV,LFLU,AFM01B   ,Z,PA44   ,Z  ,FHYPO    ,,240321,AA57096562,,,,,,,39E1EE,,AFM01B,IX ,PA44/L,SDGRY/SB2 ,LFMV1155 ,N0137F060 RARUS B16 MTL ,LFLU0033 LFLS LFLY ,"DOF/240321 IFP/MODESASP OPR/AEROSPEED ORGN/KSTPXAAP REG/FHYPO RMK/CREW CONTACT +33674700280 FILED VIA AUTOROUTER.AERO RVR/550)
",MARS,False,1152.0,39E1EE,PA44
7472,F,753,LFPG,KJFK,AFR002   ,Z,A359   ,Z  ,FHTYN    ,,240321,AA57087415,,,,,,,39CF0D,,AFR002,IS ,A359/H,SABDE2E3GHIJ1J2J3J4J5M1P2RWXYZ/LB1D1 ,LFPG0730 ,N0483F370 LGL UN491 UPALO UN585 FEJAC DCT REGHI/M085F380 DCT ETIKI/M085F380 DCT 47N020W/M085F400 47N030W 48N040W 48N050W DCT NICSO/N0497F400 N234A TUSKY DCT PLYMM PARCH3 ,KJFK0726 KEWR ,"CODE/39CF0D DAT/1FANSE2PDC DOF/240321 EET/EGGX0053 CZQX0251 CZQM0533 KZBW0632 KZNY0723 ETIKI0057 47N020W0154 48N040W0351 48N050W0448 NICSO0500 NAV/RNP2 OPR/AFR ORGN/LFBOAFMI PER/C RALT/EINN
",CDG,False,753.0,39CF0D,A359
7473,F,945,LFPG,KJFK,AFR004   ,Z,B77W   ,Z  ,FGSQA    ,,240321,AA57092312,,,,,,,394A00,,AFR004,IS ,B77W/H,SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG0930 ,N0480F340 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT NAKID DCT BOGMI DCT LEDGO DCT RESNO/M083F350 NATF LOMSI/N0486F360 N518A TAFFY DCT ENE PARCH3 ,KJFK0740 KEWR ,"CODE/394A00 DAT/CPDLCX 1FANSP2PDC DOF/240321 EET/EGTT0036 EISN0056 EGGX0132 CZQX0258 CZUL0541 CZQM0613 KZBW0628 KZNY0735 RESNO0143 56N020W0210 57N040W0344 55N050W0433 LOMSI0511 NAV/RNP2 OPR/AFR ORGN/LFBOAFMI PER/D RALT/EINN
",CDG,False,945.0,394A00,B77W
7474,F,1541,LFPG,KJFK,AFR008   ,Z,B77W   ,Z  ,FGSQU    ,,240321,AA57099944,,,,,,,394A14,,AFR008,IS ,B77W/H,SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG1530 ,N0476F360 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT NAKID DCT BOGMI DCT LEDGO DCT RESNO/M083F380 NATF LOMSI/N0487F380 N518A TAFFY DCT ENE PARCH3 ,KJFK0743 KEWR ,"CODE/394A14 DAT/CPDLCX 1FANSP2PDC DOF/240321 EET/EGTT0036 EISN0057 EGGX0135 CZQX0301 CZUL0544 CZQM0617 KZBW0631 KZNY0739 RESNO0146 56N020W0213 57N040W0346 55N050W0437 LOMSI0514 NAV/RNP2 OPR/AFR ORGN/LFBOAFMI PER/D RALT/EINN
",CDG,False,1541.0,394A14,B77W
7476,F,1742,LFPG,KJFK,AFR010   ,Z,A359   ,Z  ,FHUVF    ,,240321,AA57100502,,,,,,,39D2A5,,AFR010,IS ,A359/H,SABDE2E3GHIJ1J2J3J4J5M1P2RWXYZ/LB1D1 ,LFPG1730 ,N0482F380 LGL UN491 UPALO/N0479F390 UN585 FEJAC DCT REGHI/M085F400 DCT ETIKI/M085F400 DCT 49N020W 51N030W 52N040W 51N050W DCT ALLRY/N0497F400 N360A TOPPS DCT ENE PARCH3 ,KJFK0733 KEWR ,"CODE/39D2A5 DAT/1FANSE2PDC DOF/240321 EET/EGGX0056 CZQX0300 CZQM0550 KZBW0631 KZNY0730 ETIKI0100 49N020W0201 52N040W0353 51N050W0447 ALLRY0458 NAV/RNP2 OPR/AFR ORGN/LFBOAFMI PER/C RALT/EINN C
",CDG,False,1742.0,39D2A5,A359
7479,F,1137,LFPG,KEWR,AFR062   ,Z,A359   ,Z  ,FHTYE    ,,240321,AA57094028,,,,,,,39CF04,,AFR062,IS ,A359/H,SABDE2E3GHIJ1J2J3J4J5M1P2RWXYZ/LB1D1 ,LFPG1120 ,N0486F360 LGL UN491 UPALO/N0485F370 UN585 FEJAC DCT TIQUH DCT REGHI/M085F380 DCT ETIKI/M085F380 DCT 49N020W/M085F400 50N030W 50N040W 50N050W DCT ELSIR/N0498F400 N324A MIILS DCT HANAA FLOSI4 ,KEWR0729 KPHL ,"CODE/39CF04 DAT/1FANSE2PDC DOF/240321 EET/EGGX0054 CZQX0255 CZQM0547 KZBW0624 KZNY0723 ETIKI0058 49N020W0157 50N040W0351 50N050W0445 ELSIR0457 NAV/RNP2 OPR/AFR ORGN/LFBOA
",CDG,False,1137.0,39CF04,A359
